timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663958398015,1608,POST Sign In JSON,200,OK,performance testing 1-1,text,true,,837,299,1,1,https://qauto2.forstudy.space/api/auth/signin,1604,0,1031
1663958399672,63,GET cars,200,OK,performance testing 1-1,text,true,,322,348,1,1,https://qauto2.forstudy.space/api/cars?user=7512,62,0,0
1663958400037,80,POST Add car,201,Created,performance testing 1-1,text,true,,534,427,2,2,https://qauto2.forstudy.space/api/cars,80,0,0
1663958400119,493,Remove Car,200,OK,performance testing 1-1,text,true,,335,366,2,2,https://qauto2.forstudy.space/api/cars/69868,493,0,0
1663958399933,681,POST Sign In JSON,200,OK,performance testing 1-2,text,true,,841,299,2,2,https://qauto2.forstudy.space/api/auth/signin,681,0,133
1663958400615,73,GET cars,200,OK,performance testing 1-2,text,true,,322,352,2,2,https://qauto2.forstudy.space/api/cars?user=7512,73,0,0
1663958400613,93,Log Out,200,OK,performance testing 1-1,text,true,,497,345,2,2,https://qauto2.forstudy.space/api/auth/logout,93,0,0
1663958400709,662,POST Sign In JSON,200,OK,performance testing 1-1,text,true,,837,299,2,2,https://qauto2.forstudy.space/api/auth/signin,662,0,129
1663958400988,387,POST Add car,201,Created,performance testing 1-2,text,true,,534,431,2,2,https://qauto2.forstudy.space/api/cars,387,0,0
1663958401376,59,Remove Car,200,OK,performance testing 1-2,text,true,,335,370,2,2,https://qauto2.forstudy.space/api/cars/69869,59,0,0
1663958401436,72,Log Out,200,OK,performance testing 1-2,text,true,,497,349,2,2,https://qauto2.forstudy.space/api/auth/logout,71,0,0
1663958401509,672,POST Sign In JSON,200,OK,performance testing 1-2,text,true,,839,299,2,2,https://qauto2.forstudy.space/api/auth/signin,672,0,130
1663958401674,514,POST Add car,201,Created,performance testing 1-1,text,true,,534,427,2,2,https://qauto2.forstudy.space/api/cars,514,0,0
1663958402188,59,Remove Car,200,OK,performance testing 1-1,text,true,,335,366,2,2,https://qauto2.forstudy.space/api/cars/69870,59,0,0
1663958402248,672,POST Sign In JSON,200,OK,performance testing 1-1,text,true,,668,471,2,2,https://qauto2.forstudy.space/api/auth/signin,672,0,126
1663958402482,446,POST Add car,201,Created,performance testing 1-2,text,true,,534,429,2,2,https://qauto2.forstudy.space/api/cars,446,0,0
1663958402928,64,Remove Car,200,OK,performance testing 1-2,text,true,,335,368,2,2,https://qauto2.forstudy.space/api/cars/69871,64,0,0
1663958402993,896,POST Sign In JSON,200,OK,performance testing 1-2,text,true,,668,473,2,2,https://qauto2.forstudy.space/api/auth/signin,896,0,125
1663958403222,681,POST Add car,201,Created,performance testing 1-1,text,true,,534,427,2,2,https://qauto2.forstudy.space/api/cars,681,0,0
